entity,err_d,err_c,winner
CANAGLIFLOZIN,5.55253829452527,5.637739037560799,D
CANAZOLE,0.9148573657193468,1.8890507800311693,D
CANDESARTAN,0.5277859640098654,5.989730896612983,D
CANMAB,5.9112710441969405,5.7192425677131205,C
CAPOMEPRAZOLE,3.971400111200549,4.0,D
CAPTOPRIL,5.855245089838416,5.6359835742249835,C
CARBAMAZEPINE,21.50118728780086,20.312842178413234,C
CARBIMAZOLE,7.905783603578122,5.397831302207678,C
CAVERTA,4.28474703879192,4.938860521869898,D
CEFIXIME,43.27839799744436,36.61990004109481,C
CEFTRIAXONE,19.332910552410056,13.021694460013407,C
CEFTRISONE,2.473465693347605,4.17521586324443,D
CELOSTATIN,0.929259077510979,0.4234489140384572,C
CENFORCE,56.86240319484216,60.48904572584968,D
CETIRIZINE,8.93647643301506,4.521348511537582,C
